regime,n,seed,ica_runtime_sec,W_hash,method,draw,status,selection_runtime_sec,total_runtime_sec,ari,exact,partition_exact,threshold_w_used,enumeration_cap_hit,enumeration_timed_out,chosen_is_stable,enumeration_runtime_sec,enumeration_rounds,n_candidates_enumerated,n_stable_candidates,permutation_admissible,min_abs_selected_diagonal
hard,10000,0,0.03157629101769999,53d07996f5deab5eb6f4a7140b66ff7278a1d1a1a7381d84ae4a92a8792acc91,ours,0,ok,8.483300916850567e-05,0.03166112402686849,1.0,1.0,1.0,0.1,False,False,,,,,,,
hard,10000,0,0.03157629101769999,53d07996f5deab5eb6f4a7140b66ff7278a1d1a1a7381d84ae4a92a8792acc91,enum_first_stable,0,ok,11.085019833990373,11.116596125008073,1.0,1.0,1.0,0.1,False,False,True,11.085016375000123,"[{'threshold': 0.1, 'n_candidates_enumerated': 96, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",96.0,1.0,,
hard,10000,0,0.03157629101769999,53d07996f5deab5eb6f4a7140b66ff7278a1d1a1a7381d84ae4a92a8792acc91,enum_uniform_random,0,ok,11.085049958026502,11.116626249044202,1.0,1.0,1.0,0.1,False,False,False,11.085016375000123,"[{'threshold': 0.1, 'n_candidates_enumerated': 96, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",96.0,1.0,,
hard,10000,0,0.03157629101769999,53d07996f5deab5eb6f4a7140b66ff7278a1d1a1a7381d84ae4a92a8792acc91,enum_uniform_random,1,ok,11.08503075002227,11.11660704103997,1.0,1.0,1.0,0.1,False,False,False,11.085016375000123,"[{'threshold': 0.1, 'n_candidates_enumerated': 96, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",96.0,1.0,,
hard,10000,0,0.03157629101769999,53d07996f5deab5eb6f4a7140b66ff7278a1d1a1a7381d84ae4a92a8792acc91,enum_uniform_random,2,ok,11.085028667002916,11.116604958020616,0.848966613672496,0.0,0.0,0.1,False,False,False,11.085016375000123,"[{'threshold': 0.1, 'n_candidates_enumerated': 96, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",96.0,1.0,,
hard,10000,0,0.03157629101769999,53d07996f5deab5eb6f4a7140b66ff7278a1d1a1a7381d84ae4a92a8792acc91,enum_uniform_random,3,ok,11.085028583998792,11.116604875016492,1.0,1.0,1.0,0.1,False,False,False,11.085016375000123,"[{'threshold': 0.1, 'n_candidates_enumerated': 96, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",96.0,1.0,,
hard,10000,0,0.03157629101769999,53d07996f5deab5eb6f4a7140b66ff7278a1d1a1a7381d84ae4a92a8792acc91,enum_uniform_random,4,ok,11.085026791028213,11.116603082045913,1.0,1.0,1.0,0.1,False,False,False,11.085016375000123,"[{'threshold': 0.1, 'n_candidates_enumerated': 96, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",96.0,1.0,,
hard,10000,0,0.03157629101769999,53d07996f5deab5eb6f4a7140b66ff7278a1d1a1a7381d84ae4a92a8792acc91,arbitrary_control,0,ok,6.70839799568057e-05,0.03164337499765679,0.0,0.0,0.0,,False,False,,,,,,False,0.0005110442248732107
hard,10000,0,0.03157629101769999,53d07996f5deab5eb6f4a7140b66ff7278a1d1a1a7381d84ae4a92a8792acc91,arbitrary_control,1,ok,3.3791991882026196e-05,0.03161008300958201,0.01098901098901099,0.0,0.0,,False,False,,,,,,False,0.0014008464445639615
hard,10000,0,0.03157629101769999,53d07996f5deab5eb6f4a7140b66ff7278a1d1a1a7381d84ae4a92a8792acc91,arbitrary_control,2,ok,2.90420139208436e-05,0.03160533303162083,0.0,0.0,0.0,,False,False,,,,,,False,0.0004235637609828315
hard,10000,0,0.03157629101769999,53d07996f5deab5eb6f4a7140b66ff7278a1d1a1a7381d84ae4a92a8792acc91,arbitrary_control,3,ok,2.8083042707294226e-05,0.03160437406040728,0.0,0.0,0.0,,False,False,,,,,,False,0.0008383245869335658
hard,10000,0,0.03157629101769999,53d07996f5deab5eb6f4a7140b66ff7278a1d1a1a7381d84ae4a92a8792acc91,arbitrary_control,4,ok,4.4000043999403715e-05,0.03162029106169939,0.0,0.0,0.0,,False,False,,,,,,False,0.0006195693529851031
hard,10000,1,0.02020083402749151,ebf3d376aa62faece4a21a4db2907ba959d2dd4fffba5c1a942e32f4be618fce,enum_first_stable,0,ok,0.6379660830134526,0.6581669170409441,1.0,1.0,1.0,0.1,False,False,True,0.6379607080016285,"[{'threshold': 0.1, 'n_candidates_enumerated': 1088, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",1088.0,1.0,,
hard,10000,1,0.02020083402749151,ebf3d376aa62faece4a21a4db2907ba959d2dd4fffba5c1a942e32f4be618fce,enum_uniform_random,0,ok,0.6379977919859812,0.6581986260134727,0.6671208876776329,0.0,0.0,0.1,False,False,False,0.6379607080016285,"[{'threshold': 0.1, 'n_candidates_enumerated': 1088, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",1088.0,1.0,,
hard,10000,1,0.02020083402749151,ebf3d376aa62faece4a21a4db2907ba959d2dd4fffba5c1a942e32f4be618fce,enum_uniform_random,1,ok,0.6379767920006998,0.6581776260281913,0.6671208876776329,0.0,0.0,0.1,False,False,False,0.6379607080016285,"[{'threshold': 0.1, 'n_candidates_enumerated': 1088, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",1088.0,1.0,,
hard,10000,1,0.02020083402749151,ebf3d376aa62faece4a21a4db2907ba959d2dd4fffba5c1a942e32f4be618fce,enum_uniform_random,2,ok,0.6379755410016514,0.658176375029143,1.0,1.0,1.0,0.1,False,False,False,0.6379607080016285,"[{'threshold': 0.1, 'n_candidates_enumerated': 1088, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",1088.0,1.0,,
hard,10000,1,0.02020083402749151,ebf3d376aa62faece4a21a4db2907ba959d2dd4fffba5c1a942e32f4be618fce,enum_uniform_random,3,ok,0.6379784169839695,0.658179251011461,0.46836623659256954,0.0,0.0,0.1,False,False,False,0.6379607080016285,"[{'threshold': 0.1, 'n_candidates_enumerated': 1088, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",1088.0,1.0,,
hard,10000,1,0.02020083402749151,ebf3d376aa62faece4a21a4db2907ba959d2dd4fffba5c1a942e32f4be618fce,enum_uniform_random,4,ok,0.6379827079945244,0.6581835420220159,0.6671208876776329,0.0,0.0,0.1,False,False,False,0.6379607080016285,"[{'threshold': 0.1, 'n_candidates_enumerated': 1088, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",1088.0,1.0,,
hard,10000,1,0.02020083402749151,ebf3d376aa62faece4a21a4db2907ba959d2dd4fffba5c1a942e32f4be618fce,arbitrary_control,0,ok,6.17500045336783e-05,0.020262584032025188,0.0,0.0,0.0,,False,False,,,,,,False,0.006662861176397903
hard,10000,1,0.02020083402749151,ebf3d376aa62faece4a21a4db2907ba959d2dd4fffba5c1a942e32f4be618fce,arbitrary_control,1,ok,3.0792027246207e-05,0.020231626054737717,0.0,0.0,0.0,,False,False,,,,,,False,0.0021406063858885457
hard,10000,1,0.02020083402749151,ebf3d376aa62faece4a21a4db2907ba959d2dd4fffba5c1a942e32f4be618fce,arbitrary_control,2,ok,3.287498839199543e-05,0.020233709015883505,0.0,0.0,0.0,,False,False,,,,,,False,0.0029395505627389834
