regime,n,left,right,subset,metric,paired_seeds,mean_difference,ci95_low,ci95_high
hard,10000,enum_uniform_random,enum_first_stable,all,ari,30,-0.22711874317803663,-0.3237642860902386,-0.14223029371415785
hard,10000,enum_uniform_random,enum_first_stable,all,exact_percentage_points,30,-44.0,-57.333333333333336,-31.333333333333332
hard,10000,enum_uniform_random,enum_first_stable,complete_enumeration,ari,26,-0.24184625082235398,-0.34660992080785885,-0.14607961444402218
hard,10000,enum_uniform_random,enum_first_stable,complete_enumeration,exact_percentage_points,26,-49.23076923076923,-63.07692307692308,-35.38461538461539
hard,10000,ours,enum_first_stable,all,ari,30,0.024156006728474747,0.0,0.07246802018542424
hard,10000,ours,enum_first_stable,all,exact_percentage_points,30,3.3333333333333335,0.0,10.0
hard,10000,ours,enum_first_stable,complete_enumeration,ari,26,0.0,0.0,0.0
hard,10000,ours,enum_first_stable,complete_enumeration,exact_percentage_points,26,0.0,0.0,0.0
hard,10000,enum_uniform_random,ours,all,ari,30,-0.2512747499065114,-0.34907129580305646,-0.16284244390089775
hard,10000,enum_uniform_random,ours,all,exact_percentage_points,30,-47.333333333333336,-60.666666666666664,-34.0
hard,10000,enum_uniform_random,ours,complete_enumeration,ari,26,-0.24184625082235398,-0.34559341155642914,-0.14494342943941216
hard,10000,enum_uniform_random,ours,complete_enumeration,exact_percentage_points,26,-49.23076923076923,-63.07692307692308,-35.38461538461539
hard,50000,enum_uniform_random,enum_first_stable,all,ari,30,-0.003204047217537946,-0.009612141652613837,0.0
hard,50000,enum_uniform_random,enum_first_stable,all,exact_percentage_points,30,-2.0,-6.0,0.0
hard,50000,enum_uniform_random,enum_first_stable,complete_enumeration,ari,26,-0.0036969775586976296,-0.01109093267609289,0.0
hard,50000,enum_uniform_random,enum_first_stable,complete_enumeration,exact_percentage_points,26,-2.3076923076923075,-6.923076923076923,0.0
hard,50000,ours,enum_first_stable,all,ari,30,0.0,0.0,0.0
hard,50000,ours,enum_first_stable,all,exact_percentage_points,30,0.0,0.0,0.0
hard,50000,ours,enum_first_stable,complete_enumeration,ari,26,0.0,0.0,0.0
hard,50000,ours,enum_first_stable,complete_enumeration,exact_percentage_points,26,0.0,0.0,0.0
hard,50000,enum_uniform_random,ours,all,ari,30,-0.003204047217537946,-0.009612141652613837,0.0
hard,50000,enum_uniform_random,ours,all,exact_percentage_points,30,-2.0,-6.0,0.0
hard,50000,enum_uniform_random,ours,complete_enumeration,ari,26,-0.0036969775586976296,-0.01109093267609289,0.0
hard,50000,enum_uniform_random,ours,complete_enumeration,exact_percentage_points,26,-2.3076923076923075,-6.923076923076923,0.0
unstable,10000,enum_uniform_random,enum_first_stable,all,ari,29,-0.012742608415966257,-0.07235904828466419,0.04453329946598182
unstable,10000,enum_uniform_random,enum_first_stable,all,exact_percentage_points,29,1.3793103448275863,-12.413793103448276,14.482758620689655
unstable,10000,enum_uniform_random,enum_first_stable,complete_enumeration,ari,26,-0.005085026780374638,-0.0640026682636713,0.048823135134815426
unstable,10000,enum_uniform_random,enum_first_stable,complete_enumeration,exact_percentage_points,26,0.0,-14.615384615384615,14.615384615384615
unstable,10000,ours,enum_first_stable,all,ari,29,0.06558726106834607,0.014286829837069663,0.13072268574522738
unstable,10000,ours,enum_first_stable,all,exact_percentage_points,29,24.137931034482758,10.344827586206897,41.37931034482759
unstable,10000,ours,enum_first_stable,complete_enumeration,ari,26,0.049725779447635565,0.007288030618127208,0.106407584130421
unstable,10000,ours,enum_first_stable,complete_enumeration,exact_percentage_points,26,23.076923076923077,7.6923076923076925,38.46153846153846
unstable,10000,enum_uniform_random,ours,all,ari,29,-0.07832986948431232,-0.14218354639566969,-0.018586037746794928
unstable,10000,enum_uniform_random,ours,all,exact_percentage_points,29,-22.75862068965517,-35.86206896551724,-11.03448275862069
unstable,10000,enum_uniform_random,ours,complete_enumeration,ari,26,-0.0548108062280102,-0.11868846863548103,0.0027388302796847418
unstable,10000,enum_uniform_random,ours,complete_enumeration,exact_percentage_points,26,-23.076923076923077,-36.92307692307692,-10.76923076923077
unstable,50000,enum_uniform_random,enum_first_stable,all,ari,29,0.003314531604349595,0.0,0.009943594813048785
unstable,50000,enum_uniform_random,enum_first_stable,all,exact_percentage_points,29,2.0689655172413794,0.0,6.206896551724138
unstable,50000,enum_uniform_random,enum_first_stable,complete_enumeration,ari,26,0.0036969775586976252,0.0,0.011090932676092876
unstable,50000,enum_uniform_random,enum_first_stable,complete_enumeration,exact_percentage_points,26,2.3076923076923075,0.0,6.923076923076923
unstable,50000,ours,enum_first_stable,all,ari,29,0.005524219340582659,0.0,0.016572658021747975
unstable,50000,ours,enum_first_stable,all,exact_percentage_points,29,3.4482758620689653,0.0,10.344827586206897
unstable,50000,ours,enum_first_stable,complete_enumeration,ari,26,0.006161629264496042,0.0,0.018484887793488128
unstable,50000,ours,enum_first_stable,complete_enumeration,exact_percentage_points,26,3.8461538461538463,0.0,11.538461538461538
unstable,50000,enum_uniform_random,ours,all,ari,29,-0.0022096877362330633,-0.00662906320869919,0.0
unstable,50000,enum_uniform_random,ours,all,exact_percentage_points,29,-1.3793103448275863,-4.137931034482759,0.0
unstable,50000,enum_uniform_random,ours,complete_enumeration,ari,26,-0.002464651705798417,-0.0073939551173952504,0.0
unstable,50000,enum_uniform_random,ours,complete_enumeration,exact_percentage_points,26,-1.5384615384615385,-4.615384615384615,0.0
