method,regime,num_cycles,density,samp_size,seed,d,num_nodes,ari_scc,fscore,var_precision,var_recall,var_fscore,var_shd,inter_scc_precision,inter_scc_recall,inter_scc_fscore,chosen_threshold,chosen_beta,bic_score,runtime_sec,num_sccs,max_scc_size,num_nontrivial,frac_nontrivial,has_cycles,num_parts_est
lacerda,hard,10,0.5,50,0,20,20,0.0,0.6567164179104478,0.3173076923076923,0.908256880733945,0.4703087885985749,223,0.2705479452054795,0.8876404494382022,0.4146981627296587,,,,0.4944177698343992,10,2,10,1.0,1,1
lacerda,hard,10,0.5,50,1,20,20,0.0,0.6466165413533834,0.3322475570032573,0.8869565217391304,0.4834123222748815,218,0.293103448275862,0.8947368421052632,0.4415584415584415,,,,0.6224453530739993,10,2,10,1.0,1,1
lacerda,hard,10,0.5,50,2,20,20,0.0,0.6363636363636364,0.3475409836065574,0.9217391304347826,0.5047619047619047,208,0.3066202090592334,0.9263157894736842,0.4607329842931937,,,,0.8684367330279201,10,2,10,1.0,1,1
lacerda,hard,10,0.5,50,3,20,20,0.0,0.6153846153846153,0.2884615384615384,0.8490566037735849,0.430622009569378,238,0.2423208191126279,0.8255813953488372,0.3746701846965699,,,,0.6361472138669342,10,2,10,1.0,1,1
lacerda,hard,10,0.5,50,4,20,20,0.0,0.6046511627906976,0.3186119873817035,0.9351851851851852,0.4752941176470587,223,0.2751677852348993,0.9318181818181818,0.4248704663212435,,,,0.7138333900365978,10,2,10,1.0,1,1
lacerda,hard,10,0.5,50,5,20,20,0.0,0.6307692307692307,0.337620578778135,0.8536585365853658,0.4838709677419354,224,0.3016949152542373,0.8640776699029126,0.4472361809045226,,,,0.8291366791818291,10,2,10,1.0,1,1
lacerda,hard,10,0.5,50,6,20,20,0.0,0.6259541984732825,0.2993630573248407,0.903846153846154,0.4497607655502392,230,0.2542372881355932,0.8928571428571429,0.3957783641160949,,,,1.1290173211600631,10,2,10,1.0,1,1
lacerda,hard,10,0.5,50,7,20,20,0.0,0.6466165413533834,0.2883435582822086,0.8867924528301887,0.4351851851851852,244,0.2491909385113268,0.8953488372093024,0.3898734177215189,,,,0.5876038018614054,10,2,10,1.0,1,1
lacerda,hard,10,0.5,50,8,20,20,0.0,0.6466165413533834,0.3058103975535168,0.9090909090909092,0.4576659038901601,237,0.262987012987013,0.9,0.4070351758793969,,,,1.123046519001946,10,2,10,1.0,1,1
lacerda,hard,10,0.5,50,9,20,20,0.0,0.6363636363636364,0.3059210526315789,0.9117647058823528,0.458128078817734,220,0.2622377622377622,0.9146341463414634,0.4076086956521739,,,,1.4480125501286238,10,2,10,1.0,1,1
lacerda,hard,10,0.5,100,0,20,20,0.0,0.676923076923077,0.3719298245614035,0.9724770642201837,0.5380710659898478,182,0.3245283018867924,0.9662921348314608,0.4858757062146893,,,,1.1591963761020452,10,2,10,1.0,1,1
lacerda,hard,10,0.5,100,1,20,20,0.0,0.6666666666666666,0.3728813559322034,0.9565217391304348,0.5365853658536585,190,0.3297101449275362,0.9578947368421052,0.4905660377358491,,,,1.3453308020252734,10,2,10,1.0,1,1
lacerda,hard,10,0.5,100,2,20,20,0.0,0.6412213740458015,0.3179012345679012,0.8956521739130435,0.469248291571754,233,0.2824675324675325,0.9157894736842104,0.4317617866004963,,,,0.7226218711584806,10,2,10,1.0,1,1
lacerda,hard,10,0.5,100,3,20,20,0.0,0.6153846153846153,0.3333333333333333,0.9339622641509434,0.4913151364764268,205,0.2851985559566787,0.9186046511627908,0.4352617079889807,,,,0.617363303899765,10,2,10,1.0,1,1
lacerda,hard,10,0.5,100,4,20,20,0.0,0.6141732283464567,0.3288590604026846,0.9074074074074074,0.4827586206896551,210,0.2805755395683453,0.8863636363636364,0.4262295081967213,,,,1.807590533979237,10,2,10,1.0,1,1
lacerda,hard,10,0.5,100,5,20,20,0.0,0.6356589147286822,0.3707482993197279,0.8861788617886179,0.5227817745803358,199,0.3297101449275362,0.883495145631068,0.4802110817941953,,,,1.6392831618431956,10,2,10,1.0,1,1
lacerda,hard,10,0.5,100,6,20,20,0.0,0.6259541984732825,0.3134796238244514,0.9615384615384616,0.4728132387706856,223,0.2724252491694352,0.9761904761904762,0.425974025974026,,,,0.4320402541197836,10,2,10,1.0,1,1
lacerda,hard,10,0.5,100,7,20,20,0.0,0.6466165413533834,0.3141025641025641,0.9245283018867924,0.4688995215311005,222,0.2745762711864407,0.9418604651162792,0.4251968503937007,,,,0.5810258029960096,10,2,10,1.0,1,1
lacerda,hard,10,0.5,100,8,20,20,0.0,0.6466165413533834,0.3333333333333333,0.9454545454545454,0.4928909952606634,214,0.2925170068027211,0.9555555555555556,0.4479166666666666,,,,1.8628326109610496,10,2,10,1.0,1,1
lacerda,hard,10,0.5,100,9,20,20,0.0,0.6461538461538462,0.2866666666666667,0.8431372549019608,0.4278606965174129,230,0.2464788732394366,0.8536585365853658,0.3825136612021858,,,,1.9140312690287828,10,2,10,1.0,1,1
lacerda,hard,10,0.5,500,0,20,20,0.0,0.704,0.4841628959276018,0.981651376146789,0.6484848484848484,116,0.4328358208955223,0.9775280898876404,0.6,,,,0.6604500298853964,10,2,10,1.0,1,1
lacerda,hard,10,0.5,500,1,20,20,0.0,0.735042735042735,0.5778894472361809,1.0,0.732484076433121,84,0.5307262569832403,1.0,0.6934306569343066,,,,0.6616457521449775,10,2,10,1.0,1,1
lacerda,hard,10,0.5,500,2,20,20,0.0,0.717948717948718,0.509090909090909,0.9739130434782608,0.6686567164179105,111,0.46,0.968421052631579,0.6237288135593221,,,,1.8634625901468096,10,2,10,1.0,1,1
lacerda,hard,10,0.5,500,3,20,20,0.0,0.6666666666666666,0.4703196347031963,0.9716981132075472,0.6338461538461538,119,0.4170854271356783,0.9651162790697676,0.5824561403508771,,,,0.7928799330256879,10,2,10,1.0,1,1
lacerda,hard,10,0.5,500,4,20,20,0.0,0.6666666666666666,0.4672489082969432,0.9907407407407408,0.6350148367952522,123,0.416267942583732,0.9886363636363636,0.5858585858585859,,,,0.7243671349715441,10,2,10,1.0,1,1
lacerda,hard,10,0.5,500,5,20,20,0.0,0.6833333333333332,0.5865384615384616,0.991869918699187,0.7371601208459214,87,0.5425531914893617,0.9902912621359224,0.7010309278350515,,,,0.8060507238842547,10,2,10,1.0,1,1
lacerda,hard,10,0.5,500,6,20,20,0.0,0.6559999999999999,0.4541484716157205,1.0,0.6246246246246246,125,0.4019138755980861,1.0,0.5733788395904437,,,,1.2660577557981014,10,2,10,1.0,1,1
lacerda,hard,10,0.5,500,7,20,20,0.0,0.728813559322034,0.5,0.9339622641509434,0.6513157894736842,106,0.4438202247191011,0.9186046511627908,0.5984848484848484,,,,1.4597322600893676,10,2,10,1.0,1,1
lacerda,hard,10,0.5,500,8,20,20,0.0,0.6666666666666666,0.4448979591836735,0.990909090909091,0.6140845070422536,137,0.3955555555555555,0.9888888888888888,0.5650793650793651,,,,1.153319480130449,10,2,10,1.0,1,1
lacerda,hard,10,0.5,500,9,20,20,0.0,0.6942148760330578,0.4788732394366197,1.0,0.6476190476190475,111,0.4248704663212435,1.0,0.5963636363636364,,,,0.6244118330068886,10,2,10,1.0,1,1
lacerda,hard,10,0.5,1000,0,20,20,0.0,0.8,0.6606060606060606,1.0,0.7956204379562044,56,0.6137931034482759,1.0,0.7606837606837606,,,,0.4519488119985908,10,2,10,1.0,1,1
lacerda,hard,10,0.5,1000,1,20,20,0.0256410256410256,0.7889908256880734,0.6388888888888888,1.0,0.7796610169491525,65,0.59375,1.0,0.7450980392156863,,,,1.1016472480259836,10,2,10,1.0,1,2
lacerda,hard,10,0.5,1000,2,20,20,0.0256410256410256,0.7499999999999999,0.6031746031746031,0.991304347826087,0.75,76,0.5562130177514792,0.9894736842105264,0.7121212121212122,,,,1.4550866899080577,10,2,10,1.0,1,2
