method,regime,num_cycles,density,samp_size,seed,d,num_nodes,threshold,ari_scc,fscore,var_precision,var_recall,var_fscore,var_shd,inter_scc_precision,inter_scc_recall,inter_scc_fscore,chosen_threshold,chosen_beta,bic_score,runtime_sec,num_sccs,max_scc_size,num_nontrivial,frac_nontrivial,has_cycles,num_parts_est
lacerda,hard,4,0.5,500,0,10,10,0.001,0.0,0.6666666666666666,0.3146067415730337,0.9655172413793104,0.4745762711864407,62,0.2307692307692307,1.0,0.375,,,,0.6019489879254252,5,3,4,0.9,1,1
lacerda,hard,4,0.5,500,0,10,10,0.005,0.0,0.6666666666666666,0.3146067415730337,0.9655172413793104,0.4745762711864407,62,0.2307692307692307,1.0,0.375,,,,0.6036192870233208,5,3,4,0.9,1,1
lacerda,hard,4,0.5,500,0,10,10,0.01,0.0,0.6666666666666666,0.3146067415730337,0.9655172413793104,0.4745762711864407,62,0.2307692307692307,1.0,0.375,,,,0.6018296198453754,5,3,4,0.9,1,1
lacerda,hard,4,0.5,500,0,10,10,0.05,0.0,0.6896551724137931,0.3717948717948718,1.0,0.5420560747663552,49,0.2686567164179104,1.0,0.4235294117647059,,,,0.6138469649013132,5,3,4,0.9,1,1
lacerda,hard,4,0.5,500,0,10,10,0.1,0.0,0.6896551724137931,0.5,0.9655172413793104,0.6588235294117647,29,0.3777777777777777,0.9444444444444444,0.5396825396825397,,,,0.4579960280098021,5,3,4,0.9,1,1
lacerda,hard,4,0.5,500,0,10,10,0.2,0.1564792176039119,0.9090909090909092,0.935483870967742,1.0,0.9666666666666666,2,0.9,1.0,0.9473684210526316,,,,0.3859185460023582,5,3,4,0.9,1,2
lacerda,hard,4,0.5,500,0,10,10,0.3,0.7761194029850746,1.0,1.0,0.9655172413793104,0.9824561403508772,1,1.0,1.0,1.0,,,,0.4001964188646525,5,3,4,0.9,1,6
lacerda,hard,4,0.5,500,0,10,10,0.5,0.7761194029850746,1.0,1.0,0.896551724137931,0.9454545454545454,3,1.0,1.0,1.0,,,,0.4766856848727911,5,3,4,0.9,1,6
lacerda,hard,4,0.5,500,0,10,10,0.7,0.6341463414634146,0.8235294117647058,1.0,0.6206896551724138,0.7659574468085107,11,1.0,0.6111111111111112,0.7586206896551725,,,,0.4699984309263527,5,3,4,0.9,1,7
lacerda,hard,4,0.5,500,0,10,10,1.0,0.0,0.1818181818181818,1.0,0.0344827586206896,0.0666666666666666,28,1.0,0.0555555555555555,0.1052631578947368,,,,0.445586133049801,5,3,4,0.9,1,10
lacerda,hard,4,0.5,500,1,10,10,0.001,0.0,0.5,0.2666666666666666,1.0,0.4210526315789474,66,0.1951219512195122,1.0,0.326530612244898,,,,0.6010365840047598,6,2,4,0.8,1,1
lacerda,hard,4,0.5,500,1,10,10,0.005,0.0,0.5,0.2696629213483146,1.0,0.4247787610619469,65,0.1975308641975308,1.0,0.3298969072164948,,,,0.6006585180293769,6,2,4,0.8,1,1
lacerda,hard,4,0.5,500,1,10,10,0.01,0.0,0.5,0.2705882352941176,0.9583333333333334,0.4220183486238531,63,0.1948051948051948,0.9375,0.3225806451612903,,,,0.6000112441834062,6,2,4,0.8,1,1
lacerda,hard,4,0.5,500,1,10,10,0.05,0.0,0.5405405405405406,0.3380281690140845,1.0,0.5052631578947369,47,0.2539682539682539,1.0,0.4050632911392405,,,,0.6134104039520025,6,2,4,0.8,1,1
lacerda,hard,4,0.5,500,1,10,10,0.1,0.0476190476190476,0.7692307692307693,0.6857142857142857,1.0,0.8135593220338984,11,0.5925925925925926,1.0,0.7441860465116279,,,,0.4051379340235144,6,2,4,0.8,1,2
lacerda,hard,4,0.5,500,1,10,10,0.2,1.0,1.0,0.96,1.0,0.979591836734694,1,0.9411764705882352,1.0,0.9696969696969696,,,,0.4086496508680284,6,2,4,0.8,1,6
lacerda,hard,4,0.5,500,1,10,10,0.3,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,,,,0.3897374151274562,6,2,4,0.8,1,6
lacerda,hard,4,0.5,500,1,10,10,0.5,1.0,0.9473684210526316,1.0,0.9583333333333334,0.9787234042553192,1,1.0,0.9375,0.967741935483871,,,,0.4039532961323857,6,2,4,0.8,1,6
lacerda,hard,4,0.5,500,1,10,10,0.7,0.3778801843317972,0.888888888888889,1.0,0.5833333333333334,0.7368421052631579,10,1.0,0.5625,0.72,,,,0.4083869019523263,6,2,4,0.8,1,9
lacerda,hard,4,0.5,500,1,10,10,1.0,0.0,0.0,1.0,0.0,0.0,24,1.0,0.0,0.0,,,,0.3668051320128143,6,2,4,0.8,1,10
lacerda,hard,4,0.5,500,2,10,10,0.001,0.0,0.6206896551724138,0.3555555555555555,1.0,0.5245901639344263,58,0.282051282051282,1.0,0.44,,,,0.5975395450368524,5,3,4,0.9,1,1
lacerda,hard,4,0.5,500,2,10,10,0.005,0.0,0.6206896551724138,0.3555555555555555,1.0,0.5245901639344263,58,0.282051282051282,1.0,0.44,,,,0.619443598901853,5,3,4,0.9,1,1
lacerda,hard,4,0.5,500,2,10,10,0.01,0.0,0.6206896551724138,0.3555555555555555,1.0,0.5245901639344263,58,0.282051282051282,1.0,0.44,,,,0.6153687778860331,5,3,4,0.9,1,1
lacerda,hard,4,0.5,500,2,10,10,0.05,0.0,0.6206896551724138,0.3604651162790697,0.96875,0.5254237288135593,56,0.2837837837837837,0.9545454545454546,0.4374999999999999,,,,0.6113261978607625,5,3,4,0.9,1,1
lacerda,hard,4,0.5,500,2,10,10,0.1,0.0,0.6923076923076924,0.4492753623188406,0.96875,0.6138613861386139,39,0.3559322033898305,0.9545454545454546,0.5185185185185185,,,,0.4937007518019527,5,3,4,0.9,1,1
lacerda,hard,4,0.5,500,2,10,10,0.2,0.2771084337349397,0.9,0.8648648648648649,1.0,0.927536231884058,5,0.8148148148148148,1.0,0.8979591836734693,,,,0.397316861897707,5,3,4,0.9,1,3
